fullName,department,position_title,years_of_experience,salary,hire_date,employee_status,position,performance_rating
Tani Gorrie,Engineering,VP Marketing,8,129073.4,1/21/2012,on leave,Support Staff,4.6
Dorian Schwartz,Legal,Sales Associate,16,83071.2,5/2/2015,inactive,Professional Staff,4.4
Dun Peeke,Legal,Information Systems Manager,13,70654.33,3/5/2007,active,Professional Staff,2.0
Lutero Cluett,Training,Quality Engineer,9,63990.55,7/22/2000,active,Middle Management,4.2
Graehme Wahlberg,Research and Development,Human Resources Assistant IV,22,140000.05,8/23/2017,active,Professional Staff,3.8
Rice Pascoe,Product Management,Geological Engineer,12,127033.52,10/11/2021,active,Professional Staff,3.1
Elijah Karlqvist,Engineering,Quality Control Specialist,25,81090.83,12/9/2011,on leave,Senior Management,1.8
Feodora Glandon,Engineering,Professor,23,97330.44,8/12/2011,active,Professional Staff,3.7
Alvera Kyttor,Support,Occupational Therapist,14,67302.9,11/17/2001,active,Middle Management,3.3
Gayel Cancellieri,Accounting,Financial Advisor,8,54162.64,12/27/2018,on leave,Support Staff,1.2
Aldon Corballis,Legal,Staff Scientist,18,107198.3,10/9/2013,active,Junior Management,4.6
Mohandas Carillo,Training,Recruiter,6,144798.1,6/12/2010,active,Professional Staff,2.7
Romy Micah,Engineering,Food Chemist,25,118237.82,1/29/2012,active,Senior Management,4.4
Carlotta Broomfield,Engineering,Clinical Specialist,17,140585.29,4/14/2001,on leave,Professional Staff,5.0
Doralia Gerrey,Marketing,Junior Executive,27,88706.47,1/11/2005,active,Professional Staff,2.4
Leonora Dukesbury,Training,Analog Circuit Design manager,20,131403.12,6/30/2001,active,Senior Management,3.5
Maitilde Bartkowiak,Human Resources,Project Manager,14,119220.46,9/13/2013,inactive,Support Staff,3.1
Holly-anne de Pinna,Research and Development,Account Executive,29,69253.78,2/11/2017,active,Middle Management,3.3
Leoine Thorrold,Accounting,Budget/Accounting Analyst II,16,95942.84,4/14/2009,on leave,Professional Staff,2.5
Brandy Wreakes,Services,Civil Engineer,14,71325.83,12/22/2020,inactive,Senior Management,2.2
Kerri Allingham,Services,Office Assistant II,29,127544.97,2/23/2019,on leave,Middle Management,2.8
Valdemar Divall,Training,General Manager,30,59680.17,12/9/2017,active,Middle Management,4.9
Dorthea Husbands,Accounting,Financial Analyst,6,126038.51,1/7/2004,on leave,Support Staff,1.0
Constantino Volet,Sales,Executive Secretary,11,94464.85,10/27/2014,on leave,Senior Management,2.8
Eugenie Lawful,Services,Account Coordinator,12,86241.83,6/22/2012,on leave,Junior Management,2.8
Eugen Boxe,Sales,Actuary,7,124807.69,12/16/2016,on leave,Senior Management,2.2
Feliks Bastick,Business Development,Account Representative I,19,63458.83,5/31/2022,active,Senior Management,1.8
Daniele Caple,Services,Cost Accountant,25,138555.2,9/2/2010,active,Support Staff,1.5
Thurstan Marchment,Sales,Web Developer IV,12,142968.72,12/11/2014,active,Senior Management,1.8
Dyana Yatman,Sales,Mechanical Systems Engineer,8,91720.3,12/4/2008,active,Support Staff,3.2
Rosana Sturney,Marketing,Analog Circuit Design manager,26,140169.66,9/16/2016,active,Support Staff,3.0
Travis Gingold,Marketing,VP Marketing,25,70961.03,12/17/2004,active,Middle Management,4.5
Priscella Stanlake,Accounting,Assistant Media Planner,4,108261.83,8/20/2016,on leave,Professional Staff,4.1
Onfre Swarbrick,Accounting,VP Product Management,5,128782.35,2/27/2011,active,Professional Staff,2.0
Skip Limpkin,Business Development,Environmental Specialist,28,89482.81,6/20/2010,on leave,Professional Staff,4.0
Ralph Shaves,Research and Development,VP Product Management,16,50260.06,1/23/2016,active,Senior Management,1.5
Ally Sancto,Sales,Design Engineer,8,136475.7,3/10/2009,active,Professional Staff,1.3
Cory Aggs,Sales,Senior Editor,4,51960.63,9/5/2022,active,Administrative Staff,4.0
Worthington Wyrill,Sales,Recruiting Manager,11,138304.55,5/2/2008,active,Administrative Staff,2.7
Bard Wyard,Services,Nurse,3,135424.74,6/25/2012,active,Professional Staff,2.1
Cheri Frontczak,Business Development,Geological Engineer,8,142510.0,4/13/2001,active,Executive Level,1.6
Aleece Biddle,Engineering,Technical Writer,1,76311.44,7/11/2010,on leave,Professional Staff,4.0
Tye Kettel,Research and Development,Teacher,10,111399.79,3/28/2007,active,Professional Staff,1.3
Grace Lydiatt,Marketing,Chief Design Engineer,28,130519.62,6/12/2011,on leave,Administrative Staff,3.8
Lovell Daintrey,Engineering,Legal Assistant,28,139327.12,5/20/2002,active,Executive Level,1.7
Barrie Leele,Marketing,Accounting Assistant I,9,99749.44,9/11/2009,active,Junior Management,2.4
Lexine Dabrowski,Legal,Data Coordinator,11,104628.2,2/27/2010,active,Executive Level,3.6
Ibby Simkovich,Business Development,Office Assistant II,15,106457.59,4/9/2007,on leave,Administrative Staff,2.2
Bertine Adamovitch,Accounting,Tax Accountant,4,121908.14,12/13/2020,active,Administrative Staff,1.6
